"block"	"trial"	"order"	"st"	"stim_space"	"stim_time"	"repro_size"	"repro_speed"	"repro_time"	"t_cue_present"	"t_stim_start"	"t_stim_end"	"t_repro_start"	"t_repro_end"	"t_trial_start"	"t_trial_end"	"id"
1	70	27	0	1	1	7.29082352941169	8.5	9.29555630683899	1709.9935135	1700.4598949	1708.4603613	1711.2647559	1720.5611919	1699.9347678	1723.0771245	"01"
1	71	10	0	1	0	7.16960000000007	7.5	8.046053647995	1729.144085	1723.6106021	1727.6102901	1730.0647241	1738.1117276	1723.0854281	1740.6277969	"01"
1	72	15	1	1	1	5.5	0	10.0543715953827	1750.6947034	1741.1611258	1749.1616533	1751.2407238	1761.2956893	1740.6360925	1763.8110219	"01"
1	73	0	0	0	0	3.656	3	2.77039337158203	1769.8785905	1764.3450694	1768.3456252	1771.2087512	1773.9794014	1763.8194256	1776.4949088	"01"
1	74	2	0	1	0	6.95200000000015	7	7.23846077919006	1782.5622963	1777.0288066	1781.0287723	1783.2409849	1790.4799579	1776.5032326	1792.995492	"01"
1	75	8	0	0	0	3.20800000000005	3.5	2.69642353057861	1799.062804	1793.5292842	1797.5299226	1800.2006802	1802.8967249	1793.0039128	1805.41307	"01"
1	76	4	1	0	0	5.5	0	8.5060338973999	1811.4797997	1805.9463133	1809.946111	1812.4407399	1820.9474195	1805.4213988	1823.4626657	"01"
1	77	16	0	0	0	3.65200000000005	4	3.69983172416687	1829.5303889	1823.9968623	1827.9973164	1831.2647868	1834.964566	1823.471086	1837.4806292	"01"
1	78	12	1	0	0	5.5	0	5.3728973865509	1843.547401	1838.0139362	1842.0144162	1844.2411886	1849.6149164	1837.4890236	1852.1302202	"01"
1	79	39	1	1	1	5.5	0	6.24235367774963	1862.1979445	1852.6643394	1860.6641058	1862.8728121	1869.1155132	1852.1386576	1871.6310161	"01"
0	0	9	0	0	1	3.9485714285715	3.5	3.58793163299561	117.148526	107.6147815	115.6155211	118.0607247	121.6495365	107.0827228	124.1655333	"02"
0	1	0	0	0	0	3.832	3	2.9676468372345	130.2488201	124.7152699	128.7156279	131.1326601	134.0999796	124.1799667	136.6160537	"02"
0	2	18	0	1	0	6.02800000000011	8	6.99027824401855	142.6824695	137.1490321	141.1504218	143.4765289	150.4670273	136.6258991	152.9836282	"02"
0	3	26	0	1	0	6.74870588235288	8.5	8.49489164352417	159.049673	153.5160901	157.5165143	159.7724738	168.2677402	152.9933301	170.7833566	"02"
0	4	7	1	1	1	5.5	0	6.02867841720581	180.8502517	171.3165932	179.3171404	181.5885984	187.6182342	170.7928262	190.133862	"02"
0	5	20	1	0	0	5.5	0	4.46822094917297	196.2007066	190.6672731	194.6684986	196.7329758	201.201912	190.1435792	203.7169958	"02"
0	6	5	1	0	1	5.5	0	7.53593635559082	213.7844766	204.2509516	212.2522263	214.365944	221.9024153	203.7272506	224.4177779	"02"
0	7	29	1	0	1	5.5	0	7.28297829627991	234.4851285	224.9515249	232.9518683	235.0207773	242.3038484	224.4275005	244.8185724	"02"
0	8	1	0	0	1	3.832	3	2.97001695632935	254.8857368	245.3521288	253.3533215	255.4847051	258.4549047	244.8281347	260.9686881	"02"
0	9	31	1	1	1	5.5	0	6.5246524810791	271.036155	261.5025295	269.5031372	271.6125945	278.1373955	260.9783141	280.6533289	"02"
0	10	14	1	1	0	5.5	0	4.45598769187927	286.7198755	281.1864885	285.1874234	287.7485397	292.2050261	280.6630118	294.7198596	"02"
0	11	38	1	1	0	5.5	0	4.47277688980103	300.787408	295.253725	299.2537058	301.3488243	305.8217218	294.7296357	308.3370413	"02"
0	12	39	1	1	1	5.5	0	6.66285371780396	318.4052376	308.8709901	316.8716167	318.8926935	325.5556919	308.3462038	328.0713672	"02"
0	13	12	1	0	0	5.5	0	3.56316161155701	334.1384173	328.6054578	332.6065095	334.6926476	338.2560373	328.0803392	340.7719886	"02"
0	14	10	0	1	0	4.34079999999999	7.5	4.36095356941223	346.8387423	341.3053485	345.3059606	347.4285794	351.7899207	340.7824786	354.3056419	"02"
